brand,model,sporty_score,luxury_score,offroad_score,economy_score,ev_score,item_id
Alfa Romeo,164,0.8299999999999998,0.75,0.17,0.76,0.12,Alfa Romeo_164
Alfa Romeo,4C,0.26,0.77,0.84,0.12,0.82,Alfa Romeo_4C
Alfa Romeo,8 C Spider,0.8,0.58,0.09,0.18,0.58,Alfa Romeo_8CSpider
Alfa Romeo,Giulia,0.4000000000000001,0.1,0.65,0.12,0.65,Alfa Romeo_Giulia
Alfa Romeo,Giulia Awd,0.17,0.61,0.29,0.36,0.84,Alfa Romeo_GiuliaAwd
Alfa Romeo,Gt V6 2.5,0.31,0.73,0.15,0.56,0.88,Alfa Romeo_GtV62.5
Alfa Romeo,Gtv,0.5,0.22,0.33,0.73,0.35,Alfa Romeo_Gtv
Alfa Romeo,Milano,0.23,0.54,0.92,0.54,0.49,Alfa Romeo_Milano
Alfa Romeo,Spider,0.49,0.01,0.65,0.4,0.25,Alfa Romeo_Spider
Alfa Romeo,Spider Veloce 2000,0.64,0.5,0.41,0.37,0.62,Alfa Romeo_SpiderVeloce2000
Alfa Romeo,Stelvio,0.42,0.85,0.24,0.55,0.23,Alfa Romeo_Stelvio
Alfa Romeo,Stelvio Awd,0.54,0.98,0.71,0.36,0.34,Alfa Romeo_StelvioAwd
Alfa Romeo,Tonale Eawd,0.13,0.92,0.04,0.75,0.29,Alfa Romeo_TonaleEawd
Audi,100,0.96,0.0,0.95,0.7,0.06,Audi_100
Audi,100 Quattro,0.59,0.09,0.57,0.25,0.72,Audi_100Quattro
Audi,100 Quattro Wagon,0.44,0.91,0.87,0.29,0.5,Audi_100QuattroWagon
Audi,100 Wagon,0.07,0.14,0.58,0.53,0.89,Audi_100Wagon
Audi,200,0.37,0.62,0.26,0.03,0.38,Audi_200
Audi,200 Quattro,0.02,0.78,0.84,0.11,0.49,Audi_200Quattro
Audi,200 Quattro 20V,0.26,0.66,0.73,0.46,0.83,Audi_200Quattro20V
Audi,200 Quattro 20V Wagon,0.51,0.6,0.11,0.44,0.45,Audi_200Quattro20VWagon
Audi,200 Quattro Wagon,0.14,0.88,0.17,0.74,0.37,Audi_200QuattroWagon
Audi,4000,0.93,0.94,0.4,0.67,0.41,Audi_4000
Audi,4000 Cs Quattro,0.14,0.84,0.47,0.09,0.63,Audi_4000CsQuattro
Audi,4000 S,0.42,0.81,0.83,0.44,0.32,Audi_4000S
Audi,4000 S Quattro,0.27,0.1,0.69,0.66,0.87,Audi_4000SQuattro
Audi,4000S,0.32,0.53,0.11,0.71,0.23,Audi_4000S
Audi,4000S Quattro,0.34,0.77,0.96,0.58,0.1,Audi_4000SQuattro
Audi,5000 Cs Quattro,0.68,0.22,0.24,0.27,0.17,Audi_5000CsQuattro
Audi,5000 Cs Quattro Wagon,0.71,0.39,0.63,0.66,0.31,Audi_5000CsQuattroWagon
Audi,5000 Cs Turbo,0.65,0.46,0.72,0.44,0.95,Audi_5000CsTurbo
Audi,5000 S,0.22,0.98,0.01,0.54,0.67,Audi_5000S
