Maker,Genmodel,item_id
Abarth,124 spider,abarth_124spider
Abarth,500,abarth_500
Abarth,500c,abarth_500c
Abarth,595,abarth_595
Abarth,695,abarth_695
Abarth,Grande punto,abarth_grandepunto
Abarth,Punto evo,abarth_puntoevo
Alfa Romeo,147,alfaromeo_147
Alfa Romeo,156,alfaromeo_156
Alfa Romeo,159,alfaromeo_159
Alfa Romeo,166,alfaromeo_166
Alfa Romeo,4c,alfaromeo_4c
Alfa Romeo,Brera,alfaromeo_brera
Alfa Romeo,Giulia,alfaromeo_giulia
Alfa Romeo,Giulietta,alfaromeo_giulietta
Alfa Romeo,Gt,alfaromeo_gt
Alfa Romeo,Gtv,alfaromeo_gtv
Alfa Romeo,Mito,alfaromeo_mito
Alfa Romeo,Spider,alfaromeo_spider
Alfa Romeo,Stelvio,alfaromeo_stelvio
Aston Martin,Db11,astonmartin_db11
Aston Martin,Db7,astonmartin_db7
Aston Martin,Db9,astonmartin_db9
Aston Martin,Dbs,astonmartin_dbs
Aston Martin,Rapide,astonmartin_rapide
Aston Martin,Vanquish,astonmartin_vanquish
Aston Martin,Vantage,astonmartin_vantage
Aston Martin,Virage,astonmartin_virage
Audi,A1,audi_a1
Audi,A2,audi_a2
Audi,A3,audi_a3
Audi,A4,audi_a4
Audi,A5,audi_a5
Audi,A6,audi_a6
Audi,A7,audi_a7
Audi,A8,audi_a8
Audi,Q2,audi_q2
Audi,Q3,audi_q3
Audi,Q5,audi_q5
Audi,Q7,audi_q7
Audi,R8,audi_r8
Audi,Tt,audi_tt
Audi,Q8,audi_q8
Bmw,1 series,bmw_1series
Bmw,2 series,bmw_2series
Bmw,3 series,bmw_3series
Bmw,4 series,bmw_4series
Bmw,5 series,bmw_5series
Bmw,6 series,bmw_6series
Bmw,7 series,bmw_7series
Bmw,Alpina b3,bmw_alpinab3
Bmw,Alpina b5,bmw_alpinab5
Bmw,Alpina b6,bmw_alpinab6
Bmw,Alpina d5 bi-turbo,bmw_alpinad5bi-turbo
Bmw,I3,bmw_i3
Bmw,I8,bmw_i8
Bmw,X1,bmw_x1
Bmw,X2,bmw_x2
Bmw,X3,bmw_x3
Bmw,X4,bmw_x4
Bmw,X5,bmw_x5
Bmw,X6,bmw_x6
Bmw,Z3,bmw_z3
Bmw,Z4,bmw_z4
Bentley,Arnage,bentley_arnage
Bentley,Bentayga,bentley_bentayga
Bentley,Brooklands,bentley_brooklands
Bentley,Continental,bentley_continental
Bentley,Flying spur,bentley_flyingspur
Bentley,Mulsanne,bentley_mulsanne
Cadillac,Bls,cadillac_bls
Cadillac,Cts,cadillac_cts
Cadillac,Escalade,cadillac_escalade
Cadillac,Srx,cadillac_srx
Cadillac,Sts,cadillac_sts
Chevrolet,Aveo,chevrolet_aveo
Chevrolet,Blazer,chevrolet_blazer
Chevrolet,Camaro,chevrolet_camaro
Chevrolet,Captiva,chevrolet_captiva
Chevrolet,Cruze,chevrolet_cruze
Chevrolet,Epica,chevrolet_epica
Chevrolet,Kalos,chevrolet_kalos
Chevrolet,Lacetti,chevrolet_lacetti
Chevrolet,Matiz,chevrolet_matiz
Chevrolet,Orlando,chevrolet_orlando
Chevrolet,Spark,chevrolet_spark
Chevrolet,Tacuma,chevrolet_tacuma
Chevrolet,Trax,chevrolet_trax
Chevrolet,Volt,chevrolet_volt
Chrysler,300c,chrysler_300c
Chrysler,Crossfire,chrysler_crossfire
Chrysler,Delta,chrysler_delta
Chrysler,Grand voyager,chrysler_grandvoyager
Chrysler,Neon,chrysler_neon
Chrysler,Pt cruiser,chrysler_ptcruiser
Chrysler,Sebring,chrysler_sebring
Chrysler,Voyager,chrysler_voyager
Chrysler,Ypsilon,chrysler_ypsilon
Citroen,Berlingo,citroen_berlingo
Citroen,Berlingo multispace,citroen_berlingomultispace
Citroen,C-crosser,citroen_c-crosser
Citroen,C-zero,citroen_c-zero
Citroen,C1,citroen_c1
Citroen,C2,citroen_c2
Citroen,C3,citroen_c3
Citroen,C3 aircross,citroen_c3aircross
Citroen,C3 picasso,citroen_c3picasso
Citroen,C3 pluriel,citroen_c3pluriel
Citroen,C4,citroen_c4
Citroen,C4 cactus,citroen_c4cactus
Citroen,C4 picasso,citroen_c4picasso
Citroen,C5,citroen_c5
Citroen,C6,citroen_c6
Citroen,C8,citroen_c8
Citroen,Dispatch,citroen_dispatch
Citroen,Grand c4 picasso,citroen_grandc4picasso
Citroen,Nemo multispace,citroen_nemomultispace
Citroen,Saxo,citroen_saxo
Citroen,Spacetourer,citroen_spacetourer
Citroen,Synergie,citroen_synergie
Citroen,Xsara,citroen_xsara
Citroen,Xsara picasso,citroen_xsarapicasso
Citroen,Xantia,citroen_xantia
Corvette,C6,corvette_c6
Corvette,Stingray,corvette_stingray
Ds,3,ds_3
Ds,4,ds_4
Ds,5,ds_5
Dacia,Duster,dacia_duster
Dacia,Logan mcv,dacia_loganmcv
Dacia,Sandero,dacia_sandero
Daewoo,Kalos,daewoo_kalos
Daewoo,Lacetti,daewoo_lacetti
Daewoo,Matiz,daewoo_matiz
Daewoo,Nubira,daewoo_nubira
Daewoo,Tacuma,daewoo_tacuma
