user_id,item_id,label
user_1,Panda 4x4 1.3 Multijet 4x4 Cross 5d,1
user_1,A1 Sportback1.2 TFSI S Line 5d,1
user_1,Astra Hatchback 1.7 TD Envoy 5d,1
user_1,1-Series Coupé 120d Sport Plus Edition 2d Step Auto,1
user_1,Juke1.5 dCi Acenta (06/14-) 5d,1
user_1,Megane Saloon 1.5 dCi Dynamique 4d,1
user_1,Zafira TourerSE 1.4i Turbo (140PS) auto (10/16) 5d,1
user_1,Qubo1.3 Multijet Trekking 5d,1
user_1,407 SW Estate 1.6 HDi (110bhp) ST 5d,1
user_1,XC60 SUVR-Design Pro D5 PowerPulse AWD auto 5d,1
user_1,S80 2.4T SE 4d Auto,1
user_1,DB9V12 Bond Edition Touchtronic Coupe 2d Auto,1
user_1,Vectra Estate 1.8i Club 5d,1
user_1,Sharan 1.8T Sport 5d,1
user_1,S80 2.4 D SE(RTI NAV) 4d Geartronic,1
user_1,Q31.4T FSI SE (03/15-) 5d S Tronic,0
user_1,RAV42.0 V-matic Icon (Nav) 5d Auto,0
user_1,Cooper S 1.6 3d Auto (AC),0
user_1,NX300h Sport auto 5d,0
user_1,Grand Tourneo ConnectZetec 1.5 120PS Ford EcoBlue 5d,0
user_2,A4 Cabriolet 3.2 FSI quattro 2d,1
user_2,Vectra Saloon 1.6 16V LS 4d Auto,1
user_2,V50 2.0D R DESIGN Premium 5d Powershift,1
user_2,S-Class S350L CDi BlueTEC 4d Auto,1
user_2,XC90 2.4 D5 Executive 5d Geartronic (06),1
user_2,Corsa Hatchback1.2 SRi 3d,1
user_2,V70 D3 (163bhp) R DESIGN Geartronic (Start Stop) 5d Geartronic,1
user_2,C-Class Sports Coupé C230K 3d Seq Auto (02),1
user_2,7-Series 740d M Sport 4d Auto,1
user_2,A5 Sportback 2.0 TDI (177bhp) Quattro 5d,1
user_2,806 1.9 SRDT 5d (7 Seat),1
user_2,5-Series Saloon 530d SE Business Edition 4d Step Auto,1
user_2,3-Series Saloon320d xDrive Modern (Business Media) 4d Step Auto,1
user_2,Grand Scenic 1.6 VVT Authentique 5d (Euro 4),1
user_2,Rio 1.25 1 3d,1
user_2,Ceed Hatchback 1.6 GS 5d,0
user_2,Rapid1.6 TDI CR (90bhp) S 5d DSG,0
user_2,Focus Estate 1.6 Sport 5d,0
user_2,SL-Class SL 350 Sport Edition 2d Tip Auto,0
user_2,XC60 D5 (215bhp) SE Lux Nav AWD (06/13-) 5d Geartronic,0
user_3,Mondeo Hatchback 2.0 EcoBoost Titanium 5d Powershift,1
user_3,V70 2.4D SE (RTI NAV) 5d Geartronic,1
user_3,Corolla Hatchback 1.3i 16V 5d,1
user_3,406 Estate 2.0 Turbo Executive 5d (AC),1
user_3,3-Series Touring318d Sport (07/15-) 5d,1
user_3,400 Saloon 420 SLi 4d,1
user_3,V50 T5 R DESIGN 5d Geartronic,1
user_3,Almera Saloon 2.2 dCi SE (112ps) 4d,1
user_3,C-Class Saloon C180 AMG Sport Plus (Map Pilot) 4d,1
user_3,X1 sDrive 20d SE 5d Step Auto,1
user_3,308 Hatchback 1.6 HDi (92bhp) Active 5d,1
user_3,A2 1.6 FSI Colour Storm 5d,1
user_3,Astra Hatchback 1.7 CDTi 16V ecoFLEX SRi (99g/km) 5d,1
user_3,Grand Cherokee 4.7 V8 60th Anniversary 5d Auto,1
user_3,Venga1.4 CRDi SR7 5d,1
user_3,3-Series Touring330d Luxury (Professional Media) 5d Step Auto,0
user_3,Flying Spur6.0 W12 4d Auto,0
user_3,C70 Coupé 2.0T 2d Auto,0
user_3,108Top Active 1.0 72 (05/2018 on) 5d,0
user_3,3-Series Gran Turismo318d SE (Business Media) 5d,0
user_4,Primera Saloon 2.0 16V SLX 4d Auto (AC),1
user_4,Jimny1.3 VVT SZ4 3d,1
user_4,Golf Hatchback 2.0 TDi (140bhp) GT (Leather) 5d DSG,1
user_4,Superb Hatchback2.0 TDI CR SE L Executive 5d DSG,1
user_4,406 Saloon 2.0 HDi LX (90bhp) 4d (SR),1
user_4,A4 Saloon 2.4 4d (6),1
user_4,Polo Hatchback 1.4 SE (75ps) 5d Auto (05),1
user_4,S70 2.4 Bi-Fuel 4d Auto,1
user_4,A4 Saloon 3.2 FSI S Line 4d Multitronic,1
user_4,Octavia vRS 2.0 TDI CR vRS (2009) Estate 5d,1
user_4,Q2 SUVSE 1.0 TFSI 115PS 5d,1
user_4,207 SW 1.6 HDi (110bhp) Outdoor 5d,1
user_4,C-Class SaloonC 250 d Sport 9G-Tronic Plus auto (12/16 on) 4d,1
user_4,Xsara Estate 2.0 HDi L 5d,1
user_4,Passat Saloon 1.8T 20V Sport 4d Tip Auto,1
